References,ID,Phylum,Class,Order,Family,Genus,Species,Habitat,t_min,t_max,t_opt,max_growth,Longitude,Latitude,Cell_Volume_um3,Thermal_breadth_C,Environmental_annual_mean_temperature_C,Environmental_lowest_temperature_C,Environmental_highest_temperature_C,Environmental_temperature_range_C
Thomas (1966),115,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium isolate 581 (probably G. simplex),Marine,16,32,28,0.86,-89.2,9.8,5.67E+02,16,27.3,26.1,28.7,2.6
Thomas (1966),116,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium isolate 582 (probably G. simplex),Marine,15,33,23,1.17,-97,14.7,5.67E+02,18,28.3,26.5,29.6,3
Chin et al. (1965),117,Bacillariophyta,Bacillariophyceae,Lithodesmiales,Lithodesmiaceae,Helicotheca,Helicotheca tamesis,Marine,NA,NA,25,0.92,118.1,24.5,6.67E+04,NA,24.4,20.2,28,7.8
Throndsen (1976),118,Dinoflagellata,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa,Heterocapsa rotundata,Marine,NA,NA,20,1.46,10.5,59.5,1.02E+02,NA,9.2,2.1,16.7,14.6
Throndsen (1976),119,Chlorophyta,Prasinophyceae,Chlorodendrales,Chlorodendraceae,Heteromastix,Heteromastix pyriformis,Marine,NA,NA,22,1.31,19,69.7,1.13E+02,NA,7.4,5.5,10.8,5.4
Ono (2000),120,Raphidophyte,Raphidophyceae,Chattonellales,Chattonellaceae,Heterosigma,Heterosigma akashiwo,Marine,NA,NA,25,1.01,134.6,34.5,9.05E+02,NA,23.1,11.2,26.3,15.2
Renaud et al. (1995),121,Haptophyta,Coccolithophyceae,Isochrysidales,Isochrysidaceae,Isochrysis,"Isochrysis galbana clone T-ISO, NEPCC 601",Marine,NA,NA,25,0.69,-148.7,-14.9,5.90E+01,NA,28,26.9,28.9,2.1
Renaud et al. (2002),122,Haptophyta,Coccolithophyceae,Isochrysidales,Isochrysidaceae,Isochrysis,"Isochrysis galbana clone T-ISO, NEPCC 601",Marine,NA,35,27,0.97,-148.7,-14.9,5.90E+01,NA,28,26.9,28.9,2.1
Hobson (1974),123,Haptophyta,Coccolithophyceae,Isochrysidales,Isochrysidaceae,Isochrysis,"Isochrysis galbana strain CCMP1323, Iso.",Marine,NA,NA,25,3.5,-4.8,54.1,8.50E+01,NA,10.9,7.3,14.4,7.1
Renaud et al. (1995),124,Haptophyta,Coccolithophyceae,Isochrysidales,Isochrysidaceae,Isochrysis,Isochrysis sp. strain PS11,Marine,NA,NA,20,0.55,121.8,-18.5,8.50E+01,NA,27.5,24.6,29.6,5
McKay et al. (2006),125,Dinoflagellata,Dinophyceae,Gymnodiniales,Kareniaceae,Karenia,Karenia brevis strain MAN,Marine,13,30,23,0.16,-82.4,27,6.03E+02,17,24.8,19.3,29.6,10.3
McKay et al. (2006),126,Dinoflagellata,Dinophyceae,Gymnodiniales,Kareniaceae,Karenia,Karenia brevis strain APA,Marine,NA,NA,25,0.22,-85,29.7,6.03E+02,NA,24.5,18.9,29.7,10.7
Yamaguchi (1989),127,Dinoflagellata,Dinophyceae,Gymnodiniales,Kareniaceae,Karenia,Karenia mikimotoi,Marine,NA,NA,25,0.63,131.3,33.8,8.14E+03,NA,19.4,13.8,26.8,13
Nielsen (1996),128,Dinoflagellata,Dinophyceae,Gymnodiniales,Kareniaceae,Karlodinium,Karlodinium veneficum strain KT76E,Marine,NA,NA,20,0.47,10.5,59.5,8.08E+02,NA,9.2,2.1,16.7,14.6
Teoh et al. (2004),129,Charophyta,Klebsormidiophyceae,Klebsormidiales,Klebsormidiaceae,Klebsormidium,Klebsormidium UMACC 227,Freshwater,NA,NA,14,0.25,110.5,-66.3,3.02E+02,NA,-1.6,-2,-0.9,1.2
Vona et al. (2004),130,Chlorophyta,Trebouxiophyceae,Prasiolales,Koliellaceae,Koliella,Koliella antarctica,Marine,NA,20,10,0.3,164.5,-74.8,6.16E+00,NA,-0.9,-1.9,0.9,2.9
Meier et al. (2004),131,Dinoflagellata,Dinophyceae,Dinophyceae incertae sedis,Dinophyceae incertae sedis,Leonella,Leonella granifera,Marine,NA,NA,28,0.4,-52.5,8.7,5.24E+02,NA,27.6,26.6,28.5,1.9
Meier et al. (2004),132,Dinoflagellata,Dinophyceae,Dinophyceae incertae sedis,Dinophyceae incertae sedis,Leonella,Leonella granifera,Marine,NA,NA,29,0.19,-48.2,7,5.24E+02,NA,27.5,26.5,28.6,2.1
Hulburt (1982),133,Bacillariophyta,Bacillariophyceae,Leptocylindrales,Leptocylindraceae,Leptocylindrus,Leptocylindrus danicus,Marine,14,34,28,1.52,50.8,28.9,1.16E+03,20,26.2,19.1,32.5,13.4
Hulburt (1982),134,Bacillariophyta,,,,,Men. 5 (Diatom),Marine,11,37,27,1.87,-64.7,32.3,NA,26,22.9,19.3,27.4,8.1
Throndsen (1976),135,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla,Marine,NA,NA,20,2.85,10.5,59.5,1.00E+00,NA,9.2,2.1,16.7,14.6
Lovejoy et al. (2007),136,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas sp. strain CCMP2099,Marine,NA,15,6,0.55,-74.8,76.3,8.18E+00,NA,-0.6,-1.7,1.8,3.5
Falcon (2005),137,Cyanobacteria,,,,,N-fixing unicellular cyanobacterium strain A 2.5,Marine,NA,NA,28,1.2,-56,12.3,8.18E+00,NA,27.4,26.3,28.5,2.2
Falcon (2005),138,Cyanobacteria,,,,,N-fixing unicellular cyanobacterium strain P-3,Marine,NA,NA,30,1.06,-158,22.8,1.41E+01,NA,24.9,23.5,26.4,2.9
Falcon (2005),139,Cyanobacteria,,,,,N-fixing unicellular cyanobacterium strain P-7,Marine,NA,NA,28,0.49,-158,22.8,1.80E+02,NA,24.9,23.5,26.4,2.9
Sandnes et al. (2005),140,Eustigmatophyte,Eustigmatophyceae,Eustigmatales,Monodopsidaceae,Nannochloropsis,Nannochloropsis oceanica,Marine,NA,35,29,1.63,5.5,60,1.50E+01,NA,9.5,5.4,15,9.5
James et al. (1989),141,Eustigmatophyte,Eustigmatophyceae,Eustigmatales,Monodopsidaceae,Nannochloropsis,Nannochloropsis strain MFD2,Marine,NA,NA,15,0.15,47.5,29.3,1.50E+01,NA,24.3,17.1,30.8,13.7
Nordli (1957),142,Dinoflagellata,Dinophyceae,Gonyaulacales,Ceratiaceae,Neoceratium,Neoceratium furca,Marine,5,NA,20,0.23,10.6,59.7,1.45E+05,NA,9.2,2.1,16.7,14.6
Nordli (1957),143,Dinoflagellata,Dinophyceae,Gonyaulacales,Ceratiaceae,Neoceratium,Neoceratium fusus,Marine,5,NA,15,0.2,10.6,59.7,1.58E+05,NA,9.2,2.1,16.7,14.6
Nordli (1957),144,Dinoflagellata,Dinophyceae,Gonyaulacales,Ceratiaceae,Neoceratium,Neoceratium lineatum,Marine,NA,NA,20,0.23,10.6,59.7,5.36E+04,NA,9.2,2.1,16.7,14.6
Montressor & Tomas (1988),145,Dinoflagellata,Dinophyceae,Gonyaulacales,Ceratiaceae,Neoceratium,Neoceratium tripos,Marine,NA,NA,20,0.2,10.6,59.7,8.00E+05,NA,9.2,2.1,16.7,14.6
Renaud et al. (1995),146,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia paleacea strain NT7,Marine,NA,30,15,0.38,130.8,-12.5,4.30E+01,NA,28.6,26.5,30.5,4
Smith et al. (1994),147,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia seriata,Marine,-2,NA,30,0.79,3.6,51.4,2.93E+05,NA,11,5,17.2,12.3
Hulburt (1982),148,Bacillariophyta,Bacillariophyceae,Triceratiales,Triceratiaceae,Odontella,Odontella mobiliensis,Marine,12.5,34.5,27,1.35,-54,6,2.77E+04,22,27.5,26.4,28.2,1.7
Throndsen (1976),149,Raphidophyte,Raphidophyceae,Chattonellales,Chattonellaceae,Olisthodiscus,Olisthodiscus luteus,Marine,NA,NA,15,0.82,10.5,59.5,1.15E+03,NA,9.2,2.1,16.7,14.6
Tomas (1978),150,Raphidophyte,Raphidophyceae,Chattonellales,Chattonellaceae,Olisthodiscus,Olisthodiscus luteus clone OLMS,Marine,NA,NA,25,0.97,-71.3,41.6,1.15E+03,NA,12.5,4.9,21.5,16.5
Tomas (1978),151,Raphidophyte,Raphidophyceae,Chattonellales,Chattonellaceae,Olisthodiscus,Olisthodiscus luteus clone OLMS,Marine,NA,NA,30,0.84,-71.3,41.6,1.15E+03,NA,12.5,4.9,21.5,16.5
Foy (1983),152,Cyanobacteria,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,Oscillatoria,Oscillatoria agardhii,Freshwater,NA,NA,23,0.24,-6.4,54.6,7.90E+01,NA,10.9,7.3,14.4,7.1
Foy et al. (1976),153,Cyanobacteria,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,Oscillatoria,Oscillatoria agardhii,Freshwater,NA,NA,29.9,1.05,-6.4,54.6,7.90E+01,NA,10.9,7.3,14.4,7.1
Foy (1983),154,Cyanobacteria,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,Oscillatoria,Oscillatoria redekei,Freshwater,NA,NA,20,0.2,-6.4,54.6,3.50E+01,NA,10.9,7.3,14.4,7.1
Foy et al. (1976),155,Cyanobacteria,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,Oscillatoria,Oscillatoria redekei,Freshwater,NA,NA,25,1.32,-6.4,54.6,3.50E+01,NA,10.9,7.3,14.4,7.1
Morton et al. (1992),156,Dinoflagellata,Dinophyceae,Peridiniales,Ostreopsidaceae,Ostreopsis,Ostreopsis heptagona,Marine,16,31,25,0.16,-81.1,24.7,2.00E+05,15,26.7,23.9,29.4,5.5
Morton et al. (1992),157,Dinoflagellata,Dinophyceae,Peridiniales,Ostreopsidaceae,Ostreopsis,Ostreopsis siamensis,Marine,16,33,25,0.21,-81.1,24.7,6.47E+04,17,26.7,23.9,29.4,5.5
Barker (1935),158,Dinoflagellata,Dinophyceae,Peridiniales,Peridiniaceae,Peridinium,Peridinium sp.,Marine,8,30,18,0.73,-121.9,36.6,9.49E+03,22,13.4,12,15.5,3.5
Meier et al. (2004),159,Dinoflagellata,Dinophyceae,Peridiniales,Peridiniales incertae sedis,Pernambugia,Pernambugia tuberosa strain GeoB*74,Marine,NA,NA,22,0.36,-28.6,-11.5,8.18E+03,NA,26.6,25.3,27.8,2.5
Wang et al. (2010),160,Haptophyta,Coccolithophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis antarctica strain CCMP 1871,Marine,-2,8,4,0.35,-64.1,-64.8,1.13E+02,10,-0.7,-1.9,0.9,2.8
Wang et al. (2010),161,Haptophyta,Coccolithophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis globosa strain CCMP 1528,Marine,12,NA,20,1.1,-89.7,-1.4,6.50E+01,NA,23.4,21.3,26.6,5.3
Grimm & Weisse (1985),162,Haptophyta,Coccolithophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis pouchetii,Marine,NA,NA,15,2.29,8.3,54.9,8.00E+01,NA,10.3,3.5,17.3,13.8
Fawley (1984),163,Bacillariophyta,Bacillariophyceae,Naviculales,Phaeodactylaceae,Phaeodactylum,Phaeodactylum tricornutum clone Pet Pd,Marine,NA,NA,23,1.51,-70.2,41.7,9.22E+00,NA,8.9,2.4,16.8,14.5
Johnston (1996),164,Bacillariophyta,Bacillariophyceae,Naviculales,Phaeodactylaceae,Phaeodactylum,Phaeodactylum tricornutum strain CCAP 1052/1A,Marine,NA,NA,21,0.8,-4.2,50.4,1.28E+02,NA,12.5,9.5,16.2,6.7
Krabs et al. (2011),165,Bacillariophyta,Bacillariophyceae,Naviculales,Phaeodactylaceae,Phaeodactylum,Phaeodactylum tricornutum strain NEPCC 640,Marine,NA,30,18,0.5,-123.2,49.3,1.28E+02,NA,11.1,8.6,14.5,5.8
Krabs et al. (2011),166,Bacillariophyta,Bacillariophyceae,Naviculales,Phaeodactylaceae,Phaeodactylum,Phaeodactylum tricornutum strain CCMP633,Marine,NA,30,24,0.96,144.8,13.8,1.28E+02,NA,28.4,27.2,29.3,2
Ryther (1954),167,Bacillariophyta,Bacillariophyceae,Naviculales,Phaeodactylaceae,Phaeodactylum,Phaeodactylum tricornutum,Marine,NA,30,15,0.33,-73.1,40.7,1.28E+02,NA,12,3.8,21.7,17.9
Boyd et al. (2013),168,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,Proboscia,Proboscia inermis,Marine,NA,8,5,0.33,145,-60,9.96E+04,NA,0.6,-1,3.1,4.1
Johnson et al. (2006),169,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Prochlorococcus,Prochlorococcus marinus eMED4,Marine,NA,29,24,0.46,6.9,43.2,1.60E-01,NA,17.2,13,23,9.9
Johnson et al. (2006),170,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Prochlorococcus,Prochlorococcus marinus strain MIT9215 (clade 1),Marine,15,33,25,0.5,-140,0,1.60E-01,18,26,25.2,27.3,2.1
Johnson et al. (2006),171,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Prochlorococcus,Prochlorococcus marinus strain MIT9312 (clade 1),Marine,15,30,25,0.62,-68.2,37.5,1.60E-01,15,21.4,17.3,26.2,9
Zinser et al. (2007),172,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Prochlorococcus,Prochlorococcus marinus strain NATL2A,Marine,13,28,24,0.49,-49.3,39,1.60E-01,15,20.6,17,25.5,8.5
Zinser et al. (2007),173,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Prochlorococcus,Prochlorococcus marinus strain MIT9313,Marine,17,30,28,0.47,-68.2,37.5,1.60E-01,13,21.4,17.3,26.2,9
Moore et al. (1995),174,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Prochlorococcus,Prochlorococcus marinus MED4,Marine,NA,28,24,0.58,6.9,43.2,1.60E-01,NA,17.2,13,23,9.9
Moore et al. (1995),175,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Prochlorococcus,Prochlorococcus marinus SS120,Marine,13,28,24,0.61,-64.4,29,1.60E-01,15,24.6,21.4,28.2,6.8
Morton et al. (1992),176,Dinoflagellata,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum concavum,Marine,19,33,27,0.19,-81.1,24.7,6.87E+04,14,26.7,23.9,29.4,5.5
Boyd et al. (2013),177,Dinoflagellata,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum donghaiense,Marine,NA,NA,20,0.59,-157.8,21.4,8.06E+02,NA,25.1,23.8,26.4,2.6
Barker (1935),178,Dinoflagellata,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum gracile,Marine,8,25,18,0.64,-121.9,36.6,2.36E+03,17,13.4,12,15.5,3.5
Morton et al. (1992),179,Dinoflagellata,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum lima,Marine,19,35,27,0.21,-81.1,24.7,2.36E+04,16,26.7,23.9,29.4,5.5
Morton et al. (1992),180,Dinoflagellata,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum mexicanum,Marine,21,35,27,0.17,-81.1,24.7,7.14E+03,14,26.7,23.9,29.4,5.5
Barker (1935),181,Dinoflagellata,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum micans,Marine,8,30,25,0.55,-121.9,36.6,1.63E+04,22,13.4,12,15.5,3.5
Grzebyk and Berland (1996),182,Dinoflagellata,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum minimum,Marine,10,NA,26.5,0.78,5.3,43.3,2.07E+03,NA,17,13,22.8,9.8
Larsen and Bryant (1998),183,Haptophyta,Prymnesiophyceae,Prymnesiales,Prymnesiaceae,Prymnesium,Prymnesium parvum f. patelliferum strain RHpat93,Marine,NA,NA,15,0.37,6.2,59.5,5.92E+02,NA,9.5,5.4,15,9.5
El-Sabaawi & Harrison (2006),184,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia granii,Marine,NA,NA,14,0.95,-145,45,4.25E+02,NA,11.3,7.7,15.1,7.4
Lewis et al. (1993),185,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia multiseries,Marine,NA,NA,20,0.45,-61.8,45.6,1.65E+03,NA,6.5,-1,16.8,17.7
Fiala & Oriol (1990),186,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia turgiduloides,Marine,NA,9,3,0.5,62,-58,2.82E+02,NA,0.8,-1.1,2.4,3.5
Stapleford and Smith (1996),187,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudonitzschia seriata,Marine,-2,NA,30,0.79,3.6,51.4,2.93E+05,NA,11,5,17.2,12.3
Throndsen (1976),188,Silicoflagellate,Dictyochophyceae,Pedinellales,Pedinellaceae,Pseudopedinella,Pseudopedinella pyriformis,Marine,NA,NA,11,0.96,10.5,59.5,8.00E+01,NA,9.2,2.1,16.7,14.6
Throndsen (1976),189,Chlorophyta,Prasinophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,Pyramimonas disomata,Marine,8,28,15,1.1,10.5,59.5,4.77E+01,20,9.2,2.1,16.7,14.6
Usup et al. (1994),190,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Pyrodinium,Pyrodinium bahamense var. compressum ,Marine,NA,NA,28.5,0.27,116.1,6,2.17E+04,NA,28.5,26.5,29.7,3.2
Baars (1981),191,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,Rhizosolenia,Rhizosolenia setigera,Marine,-2,NA,30,0.79,3.6,51.4,2.93E+05,NA,11,5,17.2,12.3
Hulburt (1982),192,Bacillariophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Rhizosolenia,Rhizosolenia setigera,Marine,11,34.5,27,1.35,-54,6,7.55E+02,23.5,27.5,26.7,28.2,1.5
Binder & Anderson (1987),193,Dinoflagellata,Dinophyceae,Peridiniales,Peridiniaceae,Scrippsiella,Scrippsiella trochoidea strain ScrpMxB,Marine,NA,25,16.5,0.47,-70.6,41.6,8.47E+03,NA,12.8,5.9,21.1,15.2
Kaeriyama et al. (2011),194,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema ardens strain FDK003,Marine,10,40,35,2.32,130.8,33.9,1.67E+02,30,19.4,13.8,26.8,13
Kaeriyama et al. (2011),195,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema ardens strain FDK004,Marine,10,35,30,1.45,130.8,33.9,1.67E+02,25,19.4,13.8,26.8,13
Kaeriyama et al. (2011),196,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema ardens strain FDK005,Marine,10,40,35,2.26,130.8,33.9,1.67E+02,30,19.4,13.8,26.8,13
Kaeriyama et al. (2011),197,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema ardens strain FDK006,Marine,10,40,35,2.25,130.8,33.9,1.67E+02,30,19.4,13.8,26.8,13
Kaeriyama et al. (2011),198,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema ardens strain FDK007,Marine,10,40,35,2.22,130.8,33.9,1.67E+02,30,19.4,13.8,26.8,13
Chin et al. (1965),199,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema costatum,Marine,8,35,25,0.06,118.1,24.5,2.58E+02,27,24.4,20.2,28,7.8
Curl & McLeod (1961),200,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema costatum,Marine,NA,NA,15,0.86,-70.7,41.5,2.58E+02,NA,12.8,5.9,21.1,15.2
Falkowski (1977),201,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema costatum clone SK6C,Marine,NA,NA,24,1.17,-71.3,41.6,2.58E+02,NA,12.5,4.9,21.5,16.5
Hulburt (1982),202,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema costatum clone FHS 3,Marine,2.8,31,27.5,1.64,-123,48.5,2.58E+02,28.2,11.1,8.6,14.5,5.8
Kaeriyama et al. (2011),203,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema costatum s.s. strain FDK009,Marine,NA,35,25,1.29,130.8,33.9,2.58E+02,NA,19.4,13.8,26.8,13
Suzuki and Takahashi (1995),204,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema costatum,Marine,2,35,25,1.4,140,35.5,3.76E+02,33,21.8,16.9,27,10
Kaeriyama et al. (2011),205,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema japonicum,Marine,NA,30,20,1.53,130.8,33.9,3.27E+02,NA,19.4,13.8,26.8,13
Kaeriyama et al. (2011),206,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema japonicum,Marine,NA,30,25,1.63,130.8,33.9,3.27E+02,NA,19.4,13.8,26.8,13
Kaeriyama et al. (2011),207,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema japonicum,Marine,NA,30,25,1.55,130.8,33.9,3.27E+02,NA,19.4,13.8,26.8,13
Kaeriyama et al. (2011),208,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema japonicum strain FDK157,Marine,NA,30,20,1.53,130.8,33.9,3.27E+02,NA,19.4,13.8,26.8,13
Kaeriyama et al. (2011),209,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema japonicum strain FDK154,Marine,NA,30,20,1.59,130.8,33.9,3.27E+02,NA,19.4,13.8,26.8,13
Kaeriyama et al. (2011),210,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema marinoionohrnii complex strain FDK032,Marine,NA,35,30,1.63,130.8,33.9,1.66E+02,NA,19.4,13.8,26.8,13
Kaeriyama et al. (2011),211,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema marinoionohrnii complex,Marine,NA,35,25,1.65,130.8,33.9,1.66E+02,NA,19.4,13.8,26.8,13
Kaeriyama et al. (2011),212,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema marinoionohrnii complex,Marine,NA,35,30,1.69,130.8,33.9,1.66E+02,NA,19.4,13.8,26.8,13
Kaeriyama et al. (2011),213,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema marinoionohrnii complex,Marine,NA,35,25,1.67,130.8,33.9,1.66E+02,NA,19.4,13.8,26.8,13
Kaeriyama et al. (2011),214,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema marinoionohrnii complex,Marine,NA,35,30,1.62,130.8,33.9,1.66E+02,NA,19.4,13.8,26.8,13
Kaeriyama et al. (2011),215,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema menzelii,Marine,NA,40,35,2.58,130.8,33.9,5.65E+01,NA,19.4,13.8,26.8,13
Kaeriyama et al. (2011),216,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema menzelii,Marine,NA,40,30,2.11,130.8,33.9,5.65E+01,NA,19.4,13.8,26.8,13
Kaeriyama et al. (2011),217,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema menzelii,Marine,NA,40,25,2.12,130.8,33.9,5.65E+01,NA,19.4,13.8,26.8,13
Kaeriyama et al. (2011),218,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema menzelii,Marine,NA,40,30,1.96,130.8,33.9,5.65E+01,NA,19.4,13.8,26.8,13
Kaeriyama et al. (2011),219,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema pseudocostatum,Marine,NA,35,30,1.9,130.8,33.9,1.98E+02,NA,19.4,13.8,26.8,13
Hulburt (1982),220,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema tropicum clone fall,Marine,11,34.5,31,1.64,-54,6,2.50E+03,23.5,27.4,26.7,28.2,1.5
Hulburt (1982),221,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema tropicum clone spring,Marine,14.5,34,31,1.64,-54,6,2.50E+03,19.5,27.5,26.7,28.2,1.5
Kaeriyama et al. (2011),222,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema tropicum,Marine,10,35,25,1.22,130.8,33.9,2.50E+03,25,19.4,13.8,26.8,13
Kaeriyama et al. (2011),223,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema tropicum,Marine,10,35,25,1.3,130.8,33.9,2.50E+03,25,19.4,13.8,26.8,13
Kaeriyama et al. (2011),224,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema tropicum,Marine,10,35,30,1.55,130.8,33.9,2.50E+03,25,19.4,13.8,26.8,13
Kaeriyama et al. (2011),225,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema tropicum,Marine,10,35,30,1.56,130.8,33.9,2.50E+03,25,19.4,13.8,26.8,13
Kaeriyama et al. (2011),226,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema tropicum,Marine,10,35,25,1.55,130.8,33.9,2.50E+03,25,19.4,13.8,26.8,13
Butterwick et al. (2005),227,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Staurastrum,Staurastrum cingulum,Freshwater,NA,35,30,0.66,3,54.4,6.40E+03,NA,10.3,5.5,15.8,10.4
Fiala & Oriol (1990),228,Bacillariophyta,Bacillariophyceae,Coscinodiscales,Coscinodiscaceae,Stellarima,Stellarima microtrias,Marine,NA,8,4,0.59,62,-58,5.39E+04,NA,0.4,-0.7,2.4,3.1
Suzuki and Takahashi (1995),229,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaceae,Stephanodiscus,Stephanodiscus hantzschii,Freshwater,5,35,25,1.29,140,36,9.38E+01,30,18.6,13.2,26.6,13.4
Schone (1982),230,Bacillariophyta,Coscinodiscophyceae,Melosirales,Stephanopyxidaceae,Stephanopyxis,Stephanopyxis palmeriana,Marine,10,NA,20,0.95,-16.5,22.5,4.54E+05,NA,19.3,17.9,20.8,3
